category,PM2.5 1,PM2.5 2
2023-06-25T13:06:00.000Z,13,12
2023-06-25T13:08:00.000Z,14,13
2023-06-25T13:10:00.000Z,16,16
2023-06-25T13:12:00.000Z,15,14
2023-06-25T13:14:00.000Z,16,15
2023-06-25T13:16:00.000Z,17,17
2023-06-25T13:18:00.000Z,14,15
2023-06-25T13:21:00.000Z,18,14
2023-06-25T13:23:00.000Z,16,13
2023-06-25T13:25:00.000Z,14,19
2023-06-25T13:29:00.000Z,21,16
2023-06-25T13:31:00.000Z,19,18
2023-06-25T13:33:00.000Z,20,19
2023-06-25T13:35:00.000Z,19,18
2023-06-25T13:37:00.000Z,20,19
2023-06-25T13:39:00.000Z,20,20
2023-06-25T13:41:00.000Z,19,18
2023-06-25T13:43:00.000Z,19,20
2023-06-25T13:45:00.000Z,21,20
2023-06-25T13:47:00.000Z,22,25
2023-06-25T13:49:00.000Z,23,20
2023-06-25T13:51:00.000Z,19,22
2023-06-25T13:53:00.000Z,20,20
2023-06-25T13:55:00.000Z,22,20
2023-06-25T13:57:00.000Z,25,23
2023-06-25T13:59:00.000Z,21,21
2023-06-25T14:01:00.000Z,18,23
2023-06-25T14:03:00.000Z,23,23
2023-06-25T14:05:00.000Z,18,22
2023-06-25T14:07:00.000Z,20,24
2023-06-25T14:09:00.000Z,24,21
2023-06-25T14:12:00.000Z,22,23
2023-06-25T14:14:00.000Z,23,20
2023-06-25T14:16:00.000Z,28,25
2023-06-25T14:18:00.000Z,21,22
2023-06-25T14:20:00.000Z,21,22
2023-06-25T14:22:00.000Z,19,24
2023-06-25T14:24:00.000Z,27,24
2023-06-25T14:29:00.000Z,21,27
2023-06-25T14:31:00.000Z,26,28
2023-06-25T14:33:00.000Z,26,25
2023-06-25T14:35:00.000Z,24,24
2023-06-25T14:37:00.000Z,22,24
2023-06-25T14:39:00.000Z,26,24
2023-06-25T14:41:00.000Z,22,22
2023-06-25T14:43:00.000Z,28,28
2023-06-25T14:45:00.000Z,24,23
2023-06-25T14:47:00.000Z,23,25
2023-06-25T14:49:00.000Z,24,20
2023-06-25T14:51:00.000Z,19,18
2023-06-25T14:53:00.000Z,23,19
2023-06-25T14:55:00.000Z,21,26
2023-06-25T14:57:00.000Z,23,25
2023-06-25T14:59:00.000Z,16,21
2023-06-25T15:01:00.000Z,19,16
2023-06-25T15:03:00.000Z,13,16
2023-06-25T15:05:00.000Z,15,14
2023-06-25T15:07:00.000Z,15,14
2023-06-25T15:09:00.000Z,14,14
2023-06-25T15:11:00.000Z,11,15
2023-06-25T15:13:00.000Z,11,13
2023-06-25T15:15:00.000Z,13,11
2023-06-25T15:17:00.000Z,9,12
2023-06-25T15:19:00.000Z,10,11
2023-06-25T15:21:00.000Z,10,9
2023-06-25T15:23:00.000Z,11,12
2023-06-25T15:25:00.000Z,16,9
2023-06-25T15:27:00.000Z,10,8
2023-06-25T15:29:00.000Z,10,11
2023-06-25T15:31:00.000Z,8,8
2023-06-25T15:33:00.000Z,6,7
2023-06-25T15:35:00.000Z,7,12
2023-06-25T15:37:00.000Z,8,5
2023-06-25T15:42:00.000Z,7,6
2023-06-25T15:44:00.000Z,8,8
2023-06-25T15:46:00.000Z,8,10
2023-06-25T15:48:00.000Z,9,9
2023-06-25T15:50:00.000Z,10,8
2023-06-25T15:52:00.000Z,11,12
2023-06-25T15:54:00.000Z,7,8
2023-06-25T15:56:00.000Z,7,9
2023-06-25T15:58:00.000Z,11,9
2023-06-25T16:00:00.000Z,10,9
2023-06-25T16:02:00.000Z,10,10
2023-06-25T16:04:00.000Z,10,11
2023-06-25T16:06:00.000Z,9,10
2023-06-25T16:08:00.000Z,11,8
2023-06-25T16:10:00.000Z,8,10
2023-06-25T16:12:00.000Z,10,10
2023-06-25T16:14:00.000Z,11,11
2023-06-25T16:16:00.000Z,10,10
2023-06-25T16:18:00.000Z,12,11
2023-06-25T16:20:00.000Z,12,12
2023-06-25T16:23:00.000Z,11,9
2023-06-25T16:25:00.000Z,9,11
2023-06-25T16:27:00.000Z,9,9
2023-06-25T16:29:00.000Z,11,13
2023-06-25T16:31:00.000Z,10,11
2023-06-25T16:33:00.000Z,8,10
2023-06-25T16:35:00.000Z,7,9
2023-06-25T16:37:00.000Z,11,9
2023-06-25T16:39:00.000Z,6,7
2023-06-25T16:41:00.000Z,6,6
2023-06-25T16:43:00.000Z,5,6
2023-06-25T16:45:00.000Z,5,6
2023-06-25T16:47:00.000Z,7,5
2023-06-25T16:49:00.000Z,5,5
2023-06-25T16:51:00.000Z,5,4
2023-06-25T16:53:00.000Z,5,7
2023-06-25T16:55:00.000Z,4,3
2023-06-25T16:57:00.000Z,5,5
2023-06-25T16:59:00.000Z,5,3
2023-06-25T17:01:00.000Z,3,4
2023-06-25T17:03:00.000Z,4,3
2023-06-25T17:05:00.000Z,3,4
2023-06-25T17:07:00.000Z,4,5
2023-06-25T17:09:00.000Z,4,5
2023-06-25T17:12:00.000Z,6,5
2023-06-25T17:14:00.000Z,4,5
2023-06-25T17:16:00.000Z,5,3
2023-06-25T17:18:00.000Z,3,3
2023-06-25T17:20:00.000Z,4,4
2023-06-25T17:22:00.000Z,3,4
2023-06-25T17:24:00.000Z,3,4
2023-06-25T17:26:00.000Z,5,3
2023-06-25T17:28:00.000Z,3,3
2023-06-25T17:30:00.000Z,4,3
2023-06-25T17:32:00.000Z,4,3
2023-06-25T17:34:00.000Z,3,2
2023-06-25T17:36:00.000Z,3,3
2023-06-25T17:38:00.000Z,3,5
2023-06-25T17:40:00.000Z,5,5
2023-06-25T17:42:00.000Z,3,5
2023-06-25T17:44:00.000Z,2,3
2023-06-25T17:46:00.000Z,3,1
2023-06-25T17:48:00.000Z,3,3
2023-06-25T17:50:00.000Z,1,3
2023-06-25T17:52:00.000Z,2,2
2023-06-25T17:54:00.000Z,2,1
2023-06-25T17:56:00.000Z,1,1
2023-06-25T17:58:00.000Z,1,0
2023-06-25T18:00:00.000Z,2,2
2023-06-25T18:02:00.000Z,2,1
2023-06-25T18:04:00.000Z,1,1
2023-06-25T18:06:00.000Z,2,1
2023-06-25T18:08:00.000Z,3,1
2023-06-25T18:10:00.000Z,2,2
2023-06-25T18:12:00.000Z,1,2
2023-06-25T18:14:00.000Z,3,1
2023-06-25T18:16:00.000Z,2,2
2023-06-25T18:18:00.000Z,4,3
2023-06-25T18:21:00.000Z,2,4
2023-06-25T18:23:00.000Z,3,3
2023-06-25T18:25:00.000Z,2,3
2023-06-25T18:27:00.000Z,3,3
2023-06-25T18:29:00.000Z,5,3
2023-06-25T18:31:00.000Z,3,4
2023-06-25T18:33:00.000Z,3,3
2023-06-25T18:35:00.000Z,3,3
2023-06-25T18:37:00.000Z,3,3
2023-06-25T18:39:00.000Z,4,4
2023-06-25T18:41:00.000Z,4,4
2023-06-25T18:43:00.000Z,3,2
