category,PM2.5 1,PM2.5 2
2023-06-25T13:04:00.000Z,35,33
2023-06-25T13:06:00.000Z,37,33
2023-06-25T13:08:00.000Z,33,32
2023-06-25T13:10:00.000Z,35,33
2023-06-25T13:12:00.000Z,33,31
2023-06-25T13:14:00.000Z,38,36
2023-06-25T13:16:00.000Z,39,28
2023-06-25T13:18:00.000Z,35,31
2023-06-25T13:20:00.000Z,31,34
2023-06-25T13:22:00.000Z,32,31
2023-06-25T13:24:00.000Z,30,31
2023-06-25T13:26:00.000Z,34,28
2023-06-25T13:28:00.000Z,31,34
2023-06-25T13:30:00.000Z,32,34
2023-06-25T13:32:00.000Z,35,32
2023-06-25T13:34:00.000Z,41,39
2023-06-25T13:36:00.000Z,39,36
2023-06-25T13:38:00.000Z,36,29
2023-06-25T13:40:00.000Z,28,30
2023-06-25T13:42:00.000Z,31,29
2023-06-25T13:44:00.000Z,36,31
2023-06-25T13:46:00.000Z,34,31
2023-06-25T13:48:00.000Z,34,28
2023-06-25T13:50:00.000Z,27,31
2023-06-25T13:52:00.000Z,31,28
2023-06-25T13:54:00.000Z,33,26
2023-06-25T13:56:00.000Z,33,27
2023-06-25T13:58:00.000Z,28,25
2023-06-25T14:00:00.000Z,26,28
2023-06-25T14:03:00.000Z,26,22
2023-06-25T14:05:00.000Z,31,27
2023-06-25T14:07:00.000Z,29,26
2023-06-25T14:09:00.000Z,26,27
2023-06-25T14:11:00.000Z,24,23
2023-06-25T14:13:00.000Z,24,24
2023-06-25T14:15:00.000Z,22,25
2023-06-25T14:17:00.000Z,30,22
2023-06-25T14:19:00.000Z,26,22
2023-06-25T14:21:00.000Z,20,21
2023-06-25T14:23:00.000Z,20,18
2023-06-25T14:25:00.000Z,23,17
2023-06-25T14:27:00.000Z,23,20
2023-06-25T14:29:00.000Z,30,22
2023-06-25T14:31:00.000Z,29,22
2023-06-25T14:33:00.000Z,30,25
2023-06-25T14:35:00.000Z,29,25
2023-06-25T14:37:00.000Z,27,28
2023-06-25T14:39:00.000Z,32,23
2023-06-25T14:41:00.000Z,29,30
2023-06-25T14:43:00.000Z,34,24
2023-06-25T14:45:00.000Z,26,27
2023-06-25T14:47:00.000Z,26,26
2023-06-25T14:49:00.000Z,28,25
2023-06-25T14:51:00.000Z,31,25
2023-06-25T14:53:00.000Z,32,28
2023-06-25T14:55:00.000Z,34,27
2023-06-25T14:57:00.000Z,27,30
2023-06-25T14:59:00.000Z,27,28
2023-06-25T15:01:00.000Z,32,28
2023-06-25T15:03:00.000Z,28,26
2023-06-25T15:05:00.000Z,28,25
2023-06-25T15:07:00.000Z,28,30
2023-06-25T15:09:00.000Z,34,28
2023-06-25T15:11:00.000Z,28,25
2023-06-25T15:13:00.000Z,31,31
2023-06-25T15:15:00.000Z,26,27
2023-06-25T15:17:00.000Z,28,24
2023-06-25T15:19:00.000Z,28,24
2023-06-25T15:21:00.000Z,24,23
2023-06-25T15:23:00.000Z,22,19
2023-06-25T15:25:00.000Z,23,19
2023-06-25T15:27:00.000Z,22,20
2023-06-25T15:29:00.000Z,25,18
2023-06-25T15:31:00.000Z,20,17
2023-06-25T15:33:00.000Z,20,16
2023-06-25T15:35:00.000Z,18,16
2023-06-25T15:37:00.000Z,18,15
2023-06-25T15:39:00.000Z,20,14
2023-06-25T15:41:00.000Z,15,13
2023-06-25T15:43:00.000Z,19,19
2023-06-25T15:45:00.000Z,23,21
2023-06-25T15:47:00.000Z,22,21
2023-06-25T15:49:00.000Z,12,9
2023-06-25T15:51:00.000Z,9,8
2023-06-25T15:53:00.000Z,7,6
2023-06-25T15:55:00.000Z,9,8
2023-06-25T15:57:00.000Z,7,6
2023-06-25T15:59:00.000Z,7,6
2023-06-25T16:01:00.000Z,7,8
2023-06-25T16:03:00.000Z,5,5
2023-06-25T16:06:00.000Z,10,7
2023-06-25T16:08:00.000Z,8,6
2023-06-25T16:10:00.000Z,6,5
2023-06-25T16:12:00.000Z,6,5
2023-06-25T16:14:00.000Z,7,5
2023-06-25T16:16:00.000Z,6,5
2023-06-25T16:18:00.000Z,6,5
2023-06-25T16:20:00.000Z,7,6
2023-06-25T16:22:00.000Z,7,6
2023-06-25T16:24:00.000Z,6,6
2023-06-25T16:26:00.000Z,7,5
2023-06-25T16:28:00.000Z,6,5
2023-06-25T16:30:00.000Z,5,4
2023-06-25T16:32:00.000Z,6,5
2023-06-25T16:34:00.000Z,7,5
2023-06-25T16:36:00.000Z,6,5
2023-06-25T16:38:00.000Z,4,5
2023-06-25T16:40:00.000Z,5,4
2023-06-25T16:42:00.000Z,6,5
2023-06-25T16:44:00.000Z,6,4
2023-06-25T16:46:00.000Z,5,3
2023-06-25T16:48:00.000Z,5,4
2023-06-25T16:50:00.000Z,5,4
2023-06-25T16:52:00.000Z,6,5
2023-06-25T16:54:00.000Z,4,5
2023-06-25T16:56:00.000Z,5,3
2023-06-25T16:58:00.000Z,4,2
2023-06-25T17:00:00.000Z,4,2
2023-06-25T17:02:00.000Z,3,3
2023-06-25T17:04:00.000Z,5,3
2023-06-25T17:06:00.000Z,3,3
2023-06-25T17:08:00.000Z,3,2
2023-06-25T17:10:00.000Z,3,2
2023-06-25T17:12:00.000Z,4,1
2023-06-25T17:14:00.000Z,4,2
2023-06-25T17:16:00.000Z,3,3
2023-06-25T17:18:00.000Z,3,2
2023-06-25T17:20:00.000Z,3,1
2023-06-25T17:22:00.000Z,4,3
2023-06-25T17:24:00.000Z,4,4
2023-06-25T17:26:00.000Z,2,4
2023-06-25T17:28:00.000Z,3,2
2023-06-25T17:30:00.000Z,3,3
2023-06-25T17:32:00.000Z,3,3
2023-06-25T17:34:00.000Z,3,1
2023-06-25T17:36:00.000Z,2,2
2023-06-25T17:38:00.000Z,3,3
2023-06-25T17:40:00.000Z,2,2
2023-06-25T17:42:00.000Z,4,3
2023-06-25T17:44:00.000Z,4,2
2023-06-25T17:46:00.000Z,3,3
2023-06-25T17:48:00.000Z,4,4
2023-06-25T17:50:00.000Z,4,4
2023-06-25T17:52:00.000Z,4,2
2023-06-25T17:55:00.000Z,4,3
2023-06-25T17:57:00.000Z,4,3
2023-06-25T17:59:00.000Z,3,3
2023-06-25T18:01:00.000Z,4,3
2023-06-25T18:03:00.000Z,4,3
2023-06-25T18:05:00.000Z,3,4
2023-06-25T18:07:00.000Z,3,4
2023-06-25T18:09:00.000Z,3,2
2023-06-25T18:11:00.000Z,3,3
2023-06-25T18:13:00.000Z,3,3
2023-06-25T18:15:00.000Z,3,2
2023-06-25T18:17:00.000Z,3,3
2023-06-25T18:19:00.000Z,2,3
2023-06-25T18:21:00.000Z,3,3
2023-06-25T18:23:00.000Z,2,2
2023-06-25T18:25:00.000Z,3,2
2023-06-25T18:27:00.000Z,3,2
2023-06-25T18:29:00.000Z,3,2
2023-06-25T18:31:00.000Z,4,3
2023-06-25T18:33:00.000Z,3,2
2023-06-25T18:35:00.000Z,3,4
2023-06-25T18:37:00.000Z,2,2
2023-06-25T18:39:00.000Z,3,3
2023-06-25T18:41:00.000Z,3,3
2023-06-25T18:43:00.000Z,4,3
2023-06-25T18:45:00.000Z,3,3
2023-06-25T18:47:00.000Z,3,3
2023-06-25T18:49:00.000Z,3,4
2023-06-25T18:51:00.000Z,4,2
2023-06-25T18:53:00.000Z,3,3
2023-06-25T18:55:00.000Z,4,3
2023-06-25T18:57:00.000Z,4,4
2023-06-25T18:59:00.000Z,4,2
2023-06-25T19:01:00.000Z,3,3
2023-06-25T19:03:00.000Z,6,5
2023-06-25T19:05:00.000Z,8,7
2023-06-25T19:07:00.000Z,5,5
