category,PM2.5 1,PM2.5 2
2023-06-25T10:23:00.000Z,9,8
2023-06-25T10:25:00.000Z,9,9
2023-06-25T10:27:00.000Z,9,8
2023-06-25T10:29:00.000Z,8,13
2023-06-25T10:31:00.000Z,8,8
2023-06-25T10:33:00.000Z,11,9
2023-06-25T10:35:00.000Z,9,12
2023-06-25T10:39:00.000Z,10,10
2023-06-25T10:43:00.000Z,10,9
2023-06-25T10:45:00.000Z,10,9
2023-06-25T10:47:00.000Z,8,12
2023-06-25T10:48:00.000Z,9,10
2023-06-25T10:52:00.000Z,10,8
2023-06-25T10:54:00.000Z,10,11
2023-06-25T10:56:00.000Z,8,7
2023-06-25T10:58:00.000Z,7,8
2023-06-25T11:00:00.000Z,9,8
2023-06-25T11:02:00.000Z,8,10
2023-06-25T11:04:00.000Z,9,9
2023-06-25T11:06:00.000Z,9,8
2023-06-25T11:10:00.000Z,9,9
2023-06-25T11:12:00.000Z,8,10
2023-06-25T11:14:00.000Z,6,9
2023-06-25T11:18:00.000Z,11,6
2023-06-25T11:20:00.000Z,7,9
2023-06-25T11:24:00.000Z,8,9
2023-06-25T11:26:00.000Z,8,8
2023-06-25T11:27:00.000Z,10,7
2023-06-25T11:29:00.000Z,10,7
2023-06-25T11:31:00.000Z,8,6
2023-06-25T11:33:00.000Z,7,11
2023-06-25T11:37:00.000Z,8,7
2023-06-25T11:39:00.000Z,7,8
2023-06-25T11:41:00.000Z,7,10
2023-06-25T11:43:00.000Z,6,10
2023-06-25T11:45:00.000Z,8,7
2023-06-25T11:49:00.000Z,8,8
2023-06-25T11:51:00.000Z,9,9
2023-06-25T11:53:00.000Z,9,8
2023-06-25T11:55:00.000Z,7,8
2023-06-25T11:59:00.000Z,8,10
2023-06-25T12:01:00.000Z,7,10
2023-06-25T12:03:00.000Z,7,8
2023-06-25T12:07:00.000Z,7,8
2023-06-25T12:09:00.000Z,7,10
2023-06-25T12:10:00.000Z,6,8
2023-06-25T12:12:00.000Z,7,6
2023-06-25T12:16:00.000Z,7,8
2023-06-25T12:18:00.000Z,7,9
2023-06-25T12:22:00.000Z,9,7
2023-06-25T12:24:00.000Z,9,8
