category,PM2.5 1,PM2.5 2
2023-06-25T14:53:00.000Z,39.200001,35.200001
2023-06-25T14:54:00.000Z,39.799999,37.599998
2023-06-25T14:55:00.000Z,43.799999,41.200001
2023-06-25T14:56:00.000Z,42.599998,41.200001
2023-06-25T14:57:00.000Z,42.799999,41
2023-06-25T14:58:00.000Z,42.200001,42.400002
2023-06-25T14:59:00.000Z,40.200001,39.200001
2023-06-25T15:00:00.000Z,42,42.799999
2023-06-25T15:01:00.000Z,42.599998,40.400002
2023-06-25T15:02:00.000Z,39.799999,39
2023-06-25T15:03:00.000Z,40.400002,36.599998
2023-06-25T15:04:00.000Z,41,39.599998
2023-06-25T15:05:00.000Z,41.200001,42.400002
2023-06-25T15:06:00.000Z,40.799999,37.400002
2023-06-25T15:07:00.000Z,39.599998,41.599998
2023-06-25T15:08:00.000Z,40.200001,39.200001
2023-06-25T15:09:00.000Z,38.599998,40.599998
2023-06-25T15:10:00.000Z,36.400002,37.400002
2023-06-25T15:11:00.000Z,38.200001,34.799999
2023-06-25T15:12:00.000Z,38.599998,36.200001
2023-06-25T15:13:00.000Z,35,34.599998
2023-06-25T15:14:00.000Z,38,34.799999
2023-06-25T15:15:00.000Z,34.599998,40
2023-06-25T15:16:00.000Z,36.599998,32
2023-06-25T15:17:00.000Z,33.200001,32.200001
2023-06-25T15:18:00.000Z,36.799999,33.200001
2023-06-25T15:19:00.000Z,36,38.599998
2023-06-25T15:20:00.000Z,33.799999,33
2023-06-25T15:21:00.000Z,34,38.599998
2023-06-25T15:22:00.000Z,34.799999,34.200001
2023-06-25T15:23:00.000Z,35.799999,36.599998
2023-06-25T15:24:00.000Z,33.200001,39.400002
2023-06-25T15:25:00.000Z,35.200001,32
2023-06-25T15:26:00.000Z,34.400002,36.200001
2023-06-25T15:27:00.000Z,32,35.400002
2023-06-25T15:28:00.000Z,29.4,32.599998
2023-06-25T15:29:00.000Z,31.4,31.6
2023-06-25T15:30:00.000Z,33,30.799999
2023-06-25T15:31:00.000Z,29,33.799999
2023-06-25T15:32:00.000Z,31.6,33.799999
2023-06-25T15:33:00.000Z,36.400002,34.799999
2023-06-25T15:34:00.000Z,29.4,31
2023-06-25T15:35:00.000Z,28.6,32.400002
2023-06-25T15:36:00.000Z,23.6,27.200001
2023-06-25T15:37:00.000Z,28.6,30
2023-06-25T15:38:00.000Z,28,29
2023-06-25T15:39:00.000Z,31,30
2023-06-25T15:40:00.000Z,24.6,26.6
2023-06-25T15:41:00.000Z,24.4,23.6
2023-06-25T15:42:00.000Z,19.200001,19.200001
2023-06-25T15:43:00.000Z,11.6,13.8
2023-06-25T15:44:00.000Z,13,14.4
2023-06-25T15:45:00.000Z,13,15.4
2023-06-25T15:46:00.000Z,13.4,15.6
2023-06-25T15:47:00.000Z,8,10.8
2023-06-25T15:48:00.000Z,10,11.2
2023-06-25T15:49:00.000Z,11,13.8
2023-06-25T15:50:00.000Z,13.2,17.200001
2023-06-25T15:51:00.000Z,10.4,19.200001
2023-06-25T15:52:00.000Z,9,13.2
2023-06-25T15:53:00.000Z,8,15.2
2023-06-25T15:54:00.000Z,10,12.4
2023-06-25T15:55:00.000Z,8.2,9.2
2023-06-25T15:56:00.000Z,6.6,9.6
2023-06-25T15:57:00.000Z,8.4,9.6
2023-06-25T15:58:00.000Z,6.4,10.6
2023-06-25T15:59:00.000Z,7.4,8.6
2023-06-25T16:00:00.000Z,11.2,11
2023-06-25T16:01:00.000Z,9.2,14.4
2023-06-25T16:02:00.000Z,10,14.2
2023-06-25T16:03:00.000Z,7.8,10.8
2023-06-25T16:04:00.000Z,5.2,8.8
2023-06-25T16:05:00.000Z,5.8,11.4
2023-06-25T16:06:00.000Z,6.8,12.6
2023-06-25T16:07:00.000Z,7,12
2023-06-25T16:08:00.000Z,6.4,13
2023-06-25T16:09:00.000Z,4.4,6.6
2023-06-25T16:10:00.000Z,6.8,9.8
2023-06-25T16:11:00.000Z,6.6,8
2023-06-25T16:12:00.000Z,5.6,13
2023-06-25T16:13:00.000Z,7,9
2023-06-25T16:14:00.000Z,10.4,11.4
2023-06-25T16:15:00.000Z,7.2,9.6
2023-06-25T16:16:00.000Z,5.8,11
2023-06-25T16:17:00.000Z,7.2,10.6
2023-06-25T16:18:00.000Z,8.6,11.6
2023-06-25T16:19:00.000Z,7.8,11.6
2023-06-25T16:20:00.000Z,8.2,6.8
2023-06-25T16:21:00.000Z,6.6,9
2023-06-25T16:22:00.000Z,7.6,12.6
2023-06-25T16:23:00.000Z,7,11.6
2023-06-25T16:24:00.000Z,7.8,9.4
2023-06-25T16:25:00.000Z,6.8,12.6
2023-06-25T16:26:00.000Z,9,11.8
2023-06-25T16:27:00.000Z,5,12
2023-06-25T16:28:00.000Z,9.2,12.8
2023-06-25T16:29:00.000Z,7,7.8
2023-06-25T16:30:00.000Z,8.6,8.4
2023-06-25T16:31:00.000Z,7,9.8
2023-06-25T16:32:00.000Z,8.4,13.8
2023-06-25T16:33:00.000Z,7.6,5.8
2023-06-25T16:34:00.000Z,7.6,9
2023-06-25T16:35:00.000Z,6,10.8
2023-06-25T16:36:00.000Z,7.4,11.2
2023-06-25T16:37:00.000Z,7,9.6
2023-06-25T16:38:00.000Z,7.6,9.4
2023-06-25T16:39:00.000Z,7.8,12.8
2023-06-25T16:40:00.000Z,7.4,9.2
2023-06-25T16:41:00.000Z,6.2,11
2023-06-25T16:42:00.000Z,6,9.6
2023-06-25T16:43:00.000Z,6.2,10.2
2023-06-25T16:44:00.000Z,7,8.8
2023-06-25T16:45:00.000Z,5.2,8.4
2023-06-25T16:46:00.000Z,6,11
2023-06-25T16:47:00.000Z,7.4,11.2
2023-06-25T16:48:00.000Z,5,10
2023-06-25T16:49:00.000Z,8.4,8.4
2023-06-25T16:50:00.000Z,8,11.6
2023-06-25T16:51:00.000Z,6,8.6
2023-06-25T16:52:00.000Z,5.6,7
2023-06-25T16:53:00.000Z,5,7.6
2023-06-25T16:54:00.000Z,6.4,8.6
2023-06-25T16:55:00.000Z,7.8,12.4
2023-06-25T16:56:00.000Z,6.4,9.6
2023-06-25T16:57:00.000Z,6,8.2
2023-06-25T16:58:00.000Z,5.4,10.4
2023-06-25T16:59:00.000Z,4.2,10.2
2023-06-25T17:00:00.000Z,6.2,7.4
2023-06-25T17:01:00.000Z,4.8,11.2
2023-06-25T17:02:00.000Z,5.8,13.6
2023-06-25T17:03:00.000Z,5,10.8
2023-06-25T17:04:00.000Z,6.4,11.2
2023-06-25T17:05:00.000Z,5.6,8.8
2023-06-25T17:06:00.000Z,6.4,9.6
2023-06-25T17:07:00.000Z,5.4,9.4
2023-06-25T17:08:00.000Z,5.2,12.2
2023-06-25T17:09:00.000Z,5.8,7.6
2023-06-25T17:10:00.000Z,6,7.6
2023-06-25T17:11:00.000Z,6,11
2023-06-25T17:12:00.000Z,5.4,8.6
